주(Weeks),자전거이용자_18년11월_19년06월,자전거이용자_19년11월_20년06월,지하철이용자_18년11월_19년06월,지하철이용자_19년11월_20년06월,자전거_이용_증감률,지하철_이용_증감률
Nov.1st,280483,513955,54240681,54872624,0.885379811,0.012082707
Nov.2nd,216465,377766,53735362,54251393,0.61169069,0.009866477
Nov.3rd,229309,238834,53891736,53346477,0.036121003,-0.010425314
Nov.4th,177741,323659,53939014,54076882,0.553354797,0.002636027
Nov.5th,159393,228565,53275044,53601281,0.262316219,0.006237629
Dec.1st,115640,207501,52657029,53684333,0.348358153,0.019641982
Dec.2nd,110536,226639,54164727,54971236,0.440289423,0.015420396
Dec.3rd,123159,187050,51253576,52326219,0.242289446,0.02050886
Dec.4th,72589,160504,44678874,46900168,0.333394009,0.042470988
Jan.1st,105573,147258,50168044,50256068,0.158079159,0.001683013
Jan.2nd,108837,185121,50510121,51784181,0.289286568,0.024359939
Jan.3rd,119223,198649,50887759,51213162,0.301201758,0.006221683
Jan.4th,121330,182151,51341124,35677086,0.230647296,-0.299495326
Jan.5th,82472,180791,33891570,43880251,0.372848383,0.190982892
Feb.1st,104988,189277,49867473,43785229,0.319643379,-0.116292086
Feb.2nd,105797,180162,52488935,45549874,0.282009276,-0.132674368
Feb.3rd,168504,199560,53405963,36049746,0.117771533,-0.331849672
Feb.4th,172375,215980,49911791,30057503,0.165360243,-0.379612618
Mar.1st,210429,296486,54715688,31216001,0.326348043,-0.449312395
Mar.2nd,205582,295395,54639383,31446520,0.340591664,-0.443445941
Mar.3rd,224838,436811,54399724,32734436,0.803850632,-0.414238813
Mar.4th,241972,479591,53923904,33105437,0.901106194,-0.398047654
Apr.1st,276967,493716,54810666,33936793,0.821962328,-0.399107012
Apr.2nd,370135,549154,55024931,32402599,0.678881443,-0.432537428
Apr.3rd,394392,388837,53831914,35820793,-0.021065845,-0.344371392
Apr.4th,379999,583296,53759541,36044812,0.770949233,-0.338704397
May.1st,495118,632048,52870824,32920630,0.519270223,-0.381446334
May.2nd,519838,469580,56144390,39224987,-0.190589957,-0.323497819
May.3rd,480289,442284,55042682,38740894,-0.144123748,-0.311689062
May.4th,503632,633700,55159337,40206520,0.493247932,-0.28589683
May.5th,562550,684024,54825938,39388654,0.460657497,-0.295159806
Jun.1st,468067,678054,49027099,39106684,0.79631926,-0.189677651
Jun.2nd,530097,726951,53462803,39789547,0.746515888,-0.261431712
